,0
25,INTC UQ Equity
675,INTC UW Equity
546,INTU UQ Equity
723,INTU UW Equity
27,IP UN Equity
89,IPG UN Equity
1062,IPGP UW Equity
1034,IQV UN Equity
1126,IR UN Equity
864,IRM UN Equity
827,ISRG UW Equity
1035,IT UN Equity
1,ITT UN Equity
87,ITW UN Equity
820,IVZ UN Equity
768,J UN Equity
988,JBHT UW Equity
579,JBL UN Equity
405,JCI UN Equity
769,JEF UN Equity
559,JHF UN Equity
1075,JKHY UW Equity
310,JNJ UN Equity
845,JNPR UN Equity
753,JNPR UW Equity
532,JNS UN Equity
564,JNY UN Equity
338,JOSEA US Equity
892,JOY UN Equity
305,JPM UN Equity
417,JWN UN Equity
91,K UN Equity
269,KATE UN Equity
265,KBH UN Equity
803,KDP UN Equity
218,KEY UN Equity
1069,KEYS UN Equity
536,KG UN Equity
967,KHC UW Equity
678,KIM UN Equity
480,KLAC UQ Equity
693,KLAC UW Equity
360,KMB UN Equity
913,KMI UN Equity
424,KMRTQ UN Equity
886,KMX UN Equity
9,KO UN Equity
362,KR UN Equity
177,KRB UN Equity
917,KRFT UW Equity
403,KRI UN Equity
510,KSE UN Equity
361,KSS UN Equity
51,KSU UN Equity
97,L UN Equity
428,LDG UN Equity
872,LDOS UN Equity
92,LEG UN Equity
273,LEHMQ UN Equity
649,LEN UN Equity
630,LH UN Equity
808,LHX UN Equity
1072,LIN UN Equity
1027,LKQ UW Equity
506,LLTC UQ Equity
710,LLTC UW Equity
93,LLY UN Equity
679,LM UN Equity
247,LMT UN Equity
95,LNC UN Equity
1021,LNT UN Equity
1063,LNT UW Equity
823,LO UN Equity
366,LOW UN Equity
283,LPX UN Equity
923,LRCX UW Equity
52,LUMN UN Equity
395,LUV UN Equity
957,LVLT UN Equity
1111,LVS UN Equity
1070,LW UN Equity
249,LXK UN Equity
909,LYB UN Equity
1104,LYV UN Equity
354,M UN Equity
838,MA UN Equity
1017,MAA UN Equity
946,MAC UN Equity
252,MAR UN Equity
939,MAR UW Equity
101,MAS UN Equity
267,MAT UN Equity
851,MAT UW Equity
266,MBI UN Equity
13,MCD UN Equity
779,MCHP UW Equity
451,MCK UN Equity
254,MCO UN Equity
767,MDLZ UN Equity
914,MDLZ UW Equity
462,MDP UN Equity
298,MDRIQ UN Equity
369,MDT UN Equity
515,MEDI UQ Equity
685,MEDI UW Equity
461,MEE UN Equity
141,MEL UN Equity
112,MER UN Equity
519,MERQ UQ Equity
504,MET UN Equity
839,MFE UN Equity
1053,MGM UN Equity
942,MHK UN Equity
617,MHS UN Equity
609,MI UN Equity
576,MIRKQ UN Equity
846,MJN UN Equity
619,MKC UN Equity
437,MKG UN Equity
1101,MKTX UW Equity
964,MLM UN Equity
368,MMC UN Equity
311,MMM UN Equity
962,MNKKQ UN Equity
984,MNST UW Equity
24,MO UN Equity
481,MOLX UQ Equity
694,MOLX UW Equity
901,MOS UN Equity
907,MPC UN Equity
14,MRK UN Equity
173,MRO UN Equity
438,MS UN Equity
1060,MSCI UN Equity
319,MSFT UQ Equity
676,MSFT UW Equity
370,MSI UN Equity
636,MTB UN Equity
1018,MTD UN Equity
