Date,LnShEq,EqMktNtr,DedShBs,GlobalMac ,MngdFut ,EmgMkts,EvntDrvn , CnvrtArb ,FxIncArb ,HFIndex,LRF,MktRF,SMB,HML,RMW,CMA,UMD,BondMkt,CreditS,PTFSBD,PTFSFX,PTFSCOM,LiqPS,LiqSadka,AlphaQuest,Transtrend,VFINX,VEXMX,NAESX,VVIAX,VBINX,VIMSX,VISGX,VISVX,MTUM,TSMOM,TSMOMCM,TSMOMEQ,TSMOMFI,TSMOMFX
1996-02-29,0.0135,0.0159,-0.0564,-0.0707,-0.045,-0.0057,0.0058,0.0118,0.0106,-0.0359,0.0039,0.0133,0.0177,-0.0108,0.0024,-0.019,0.0059,0.0016,0,0.093,-0.273,-0.011,0.0096,0.0009,,-6.65%,0.92%,3.35%,3.42%,,0.27%,,,,,-2.28%,3.76%,1.47%,-20.30%,-2.18%
1996-03-31,0.0121,0.0165,-0.0087,0.0122,0.0011,-0.0093,0.0122,0.015,0.0077,0.0106,0.0039,0.0073,0.0161,0.0035,0.0142,-0.0095,-0.0184,0.0046,-0.0006,-0.017,-0.224,-0.048,-0.0116,0.0004,,-0.48%,0.98%,1.40%,1.88%,,0.34%,,,,,2.50%,3.68%,2.86%,-4.55%,5.75%
1996-04-30,0.0414,0.0129,-0.0664,0.03,0.0312,0.0506,0.0257,0.0134,0.0135,0.0312,0.0046,0.0206,0.0471,-0.0402,-0.0014,-0.0211,-0.0088,0.0024,-0.0008,-0.11,-0.079,0.315,-0.0327,-0.0002,,8.59%,1.45%,4.34%,5.59%,,1.15%,,,,,4.12%,6.38%,5.22%,-1.20%,3.19%
1996-05-31,0.0213,0.0114,0.0002,0.0199,-0.0199,0.0451,0.0166,0.0159,0.0109,0.0193,0.0042,0.0236,0.0321,-0.0083,0.0012,-0.003,0.0154,0.0023,-0.0012,-0.134,0.029,-0.229,-0.0101,0.0017,,-4.40%,2.54%,3.09%,3.93%,,1.53%,,,,,0.24%,-1.72%,-0.27%,-0.93%,5.50%
1996-06-30,-0.0153,0.0024,0.0509,0.0323,0.002,0.0536,0.01,0.0145,0.0125,0.0174,0.004,-0.0114,-0.0365,0.0235,0.0351,0.0122,0.0098,0.0017,-0.0007,-0.136,-0.166,0.083,-0.0479,0.0009,,-0.30%,0.38%,-3.26%,-3.85%,,0.07%,,,,,1.78%,2.94%,1.35%,-0.33%,1.54%
1996-07-31,-0.038,0.006,0.0983,-0.0697,0.001,-0.0268,0.0024,0.0136,0.0134,-0.0413,0.0045,-0.0597,-0.0381,0.0514,0.0295,0.026,-0.0017,-0.0004,-0.0001,0.027,0.091,-0.035,-0.0392,0.0003,,3.88%,-4.42%,-7.12%,-8.41%,,-3.08%,,,,,-4.51%,0.97%,-14.57%,2.10%,-13.42%
1996-08-31,0.0238,0.0148,-0.0343,0.0293,0.0078,0.0356,0.0216,0.0131,0.0104,0.0248,0.0041,0.0277,0.0257,-0.0074,-0.0037,-0.0242,0.0001,-0.0023,0.0006,0.029,-0.297,0.03,0.0068,-0.0031,,7.26%,2.10%,5.38%,5.96%,,1.83%,,,,,4.26%,2.14%,3.55%,7.83%,6.07%
1996-09-30,0.025,0.0132,-0.0593,0.0301,0.0322,0.0157,0.0223,0.0112,0.0147,0.025,0.0044,0.0501,-0.0139,-0.0272,0.0127,-0.0222,0.027,0.0019,-0.0002,0.027,-0.011,0.051,-0.0321,0.0002,,7.51%,5.60%,4.80%,3.73%,,3.92%,,,,,8.57%,8.18%,10.14%,6.49%,9.91%
1996-10-31,0.0193,0.0111,0.043,0.0531,0.0559,0.017,0.0139,0.0144,0.0116,0.0335,0.0042,0.0086,-0.0377,0.0494,0.014,0.0325,0.0379,-0.003,0.0002,0.148,0.371,0.236,-0.0218,0.0005,,10.37%,2.75%,-1.47%,-1.42%,,1.79%,,,,,2.21%,-1.10%,2.63%,5.37%,5.89%
1996-11-30,0.0307,0.02,-0.0294,0.0813,0.0421,0.026,0.0254,0.0135,0.0117,0.0504,0.0041,0.0625,-0.038,0.0139,0.0212,-0.0079,-0.0237,-0.0033,0.0005,0.139,0.093,0.108,0.0231,-0.0008,,1.46%,7.56%,4.77%,4.35%,,4.71%,,,,,7.61%,3.27%,17.68%,5.58%,10.44%
1996-12-31,0.0082,0.0095,0.0131,-0.0076,-0.0183,0.0243,0.0188,0.0085,0.0175,0.0031,0.0046,-0.017,0.0325,0.0131,0.0037,0.0149,0.0063,0.001,0,-0.099,0.278,-0.084,-0.0216,0.0007,,-3.12%,-1.97%,0.53%,2.39%,,-1.08%,,,,,3.03%,3.31%,2.39%,-0.10%,5.54%
1997-01-31,0.0349,0.0317,-0.0186,0.0821,0.03,0.0946,0.023,0.0103,0.0148,0.0548,0.0045,0.0499,-0.0182,-0.0142,0.0119,-0.0002,0.0195,0.0028,-0.0008,-0.037,0.412,0.084,-0.0284,0.0007,,9.64%,6.23%,3.44%,2.28%,,3.40%,,,,,3.91%,-2.02%,16.20%,4.67%,5.92%
